"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP65","WOMEN","YR","A","2000",20.4,
"AUT","LIFEEXP65","WOMEN","YR","A","2000",19.6,
"BEL","LIFEEXP65","WOMEN","YR","A","2000",19.7,
"CAN","LIFEEXP65","WOMEN","YR","A","2000",20.1,
"CZE","LIFEEXP65","WOMEN","YR","A","2000",17.2,
"DNK","LIFEEXP65","WOMEN","YR","A","2000",18.3,
"FIN","LIFEEXP65","WOMEN","YR","A","2000",19.5,
"FRA","LIFEEXP65","WOMEN","YR","A","2000",21.4,
"DEU","LIFEEXP65","WOMEN","YR","A","2000",19.6,
"GRC","LIFEEXP65","WOMEN","YR","A","2000",19.2,
"HUN","LIFEEXP65","WOMEN","YR","A","2000",16.7,
"ISL","LIFEEXP65","WOMEN","YR","A","2000",19.8,
"IRL","LIFEEXP65","WOMEN","YR","A","2000",18,
"ITA","LIFEEXP65","WOMEN","YR","A","2000",20.7,
"JPN","LIFEEXP65","WOMEN","YR","A","2000",22.4,
"KOR","LIFEEXP65","WOMEN","YR","A","2000",18.2,
"LUX","LIFEEXP65","WOMEN","YR","A","2000",20.1,
"MEX","LIFEEXP65","WOMEN","YR","A","2000",18.9,
"NLD","LIFEEXP65","WOMEN","YR","A","2000",19.3,
"NZL","LIFEEXP65","WOMEN","YR","A","2000",19.8,
"NOR","LIFEEXP65","WOMEN","YR","A","2000",19.9,
"POL","LIFEEXP65","WOMEN","YR","A","2000",17.5,"B"
"PRT","LIFEEXP65","WOMEN","YR","A","2000",19.1,
"SVK","LIFEEXP65","WOMEN","YR","A","2000",16.7,
"ESP","LIFEEXP65","WOMEN","YR","A","2000",20.7,
"SWE","LIFEEXP65","WOMEN","YR","A","2000",20.2,
"CHE","LIFEEXP65","WOMEN","YR","A","2000",20.9,
"TUR","LIFEEXP65","WOMEN","YR","A","2000",15.1,
"GBR","LIFEEXP65","WOMEN","YR","A","2000",19,
"USA","LIFEEXP65","WOMEN","YR","A","2000",19,
"BRA","LIFEEXP65","WOMEN","YR","A","2000",18.1,
"CHL","LIFEEXP65","WOMEN","YR","A","2000",19,
"EST","LIFEEXP65","WOMEN","YR","A","2000",17.1,
"ISR","LIFEEXP65","WOMEN","YR","A","2000",19,
"RUS","LIFEEXP65","WOMEN","YR","A","2000",15,
"SVN","LIFEEXP65","WOMEN","YR","A","2000",18.7,
"LTU","LIFEEXP65","WOMEN","YR","A","2000",17.8,
"CRI","LIFEEXP65","WOMEN","YR","A","2000",19.6,
"COL","LIFEEXP65","WOMEN","YR","A","2000",17.7,
"BGR","LIFEEXP65","WOMEN","YR","A","2000",15.3,
"ROU","LIFEEXP65","WOMEN","YR","A","2000",15.9,
